Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens	Kinesin-1 heavy chain	1:Experimental evidence at protein level	52.75	1.0000	0.9990	57	41	57	147	125	147	672057760	649595472	672057760	10C(57.0214), 10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15C(57.0214), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 1K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5K(304.2071), 5M(15.9949), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			25468155.1504	24127800.2695	31648327.7441	26867889.9688	27848844.2637	26989508.1094	30579680.9570	30335216.0918	26043399.1719	26179757.0898	28342387.4297	34208052.2441	26581788.8965	29687116.5781	28185757.7676	20020853.4102	17790797.4834	18569241.4473
sp|P33240|CSTF2_HUMAN	P33240	CSTF2_HUMAN	CSTF2	577	Homo sapiens	Cleavage stimulation factor subunit 2	1:Experimental evidence at protein level	20.45	1.0000	0.9990	12	6	12	36	14	36	535973896	152270136	535973896	10M(15.9949), 14M(15.9949), 15K(304.2071), 2C(57.0214), 3M(15.9949), 5M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			9677864.0576	9125872.8867	12025038.7109	11379383.2500	10713747.4395	10991409.0723	11801464.5967	11587375.1738	9869825.2930	13026603.7285	13446351.8555	16317933.4297	11653896.0977	13697038.8867	12417398.2969	8316747.3848	7339720.5977	8192739.7646
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1:Experimental evidence at protein level	22.22	1.0000	0.9990	6	6	6	13	13	13	713380472	713380472	713380472	10K(304.2071), 12K(304.2071), 6C(57.0214), N-term(304.2071)			4714191.9238	4361014.2168	5527856.8516	4982098.6699	5109672.9727	5008006.7598	5494468.4160	5477230.5195	4934847.9355	4570436.6289	4624099.5820	5678489.7578	4233770.3359	4935041.1523	4416773.7539	2760857.9512	2464213.9414	2570213.4336
sp|P33527|MRP1_HUMAN	P33527	MRP1_HUMAN	ABCC1	1531	Homo sapiens	Multidrug resistance-associated protein 1	1:Experimental evidence at protein level	11.56	1.0000	0.9990	16	14	15	18	16	17	91851690	56866901	91851690	11M(15.9949), 14K(304.2071), 5M(15.9949), 6C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			2032645.1035	1889766.9805	2465061.8535	2294814.8086	2262893.6641	2283229.1777	2341653.2031	2365523.6582	2030786.0332	2486125.2168	2785640.4141	3217973.3555	2532044.1680	2836217.7422	2604526.9102	1983221.2441	1776235.7539	1891097.4102
sp|P33897|ABCD1_HUMAN	P33897	ABCD1_HUMAN	ABCD1	745	Homo sapiens	ATP-binding cassette sub-family D member 1	1:Experimental evidence at protein level	4.43	1.0000	0.9990	3	3	3	3	3	3	11865530	11865530	11865530	10K(304.2071), N-term(304.2071)			269994.8633	247478.5742	326108.6328	330848.1562	324157.7930	316766.5156	319791.9141	332778.7734	275910.4805	330640.9414	357890.4297	403964.0469	291658.6523	319210.3672	309470.2188	149494.0176	126249.4883	139947.8477
sp|P33981|TTK_HUMAN	P33981	TTK_HUMAN	TTK	857	Homo sapiens	Dual specificity protein kinase TTK	1:Experimental evidence at protein level	5.83	1.0000	0.9990	5	5	5	9	9	9	60317813	60317813	60317813	17K(304.2071), 5M(15.9949), 8K(304.2071), N-term(304.2071)			1354118.6406	1241336.8594	1656965.7344	1412454.3203	1417625.6250	1437386.2852	1563241.9258	1539369.2461	1335307.7852	1656784.9531	1769034.0938	2148897.3750	1651161.3438	1852838.6250	1698870.7734	656238.4785	580644.5234	624522.7031
sp|P33991|MCM4_HUMAN	P33991	MCM4_HUMAN	MCM4	863	Homo sapiens	DNA replication licensing factor MCM4	1:Experimental evidence at protein level	32.56	1.0000	0.9990	30	30	30	122	122	122	2064140864	2064140864	2064140864	10K(304.2071), 11K(304.2071), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13K(304.2071), 13M(15.9949), 15K(304.2071), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1K(304.2071), 28K(304.2071), 2K(304.2071), 2M(15.9949), 5C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8M(15.9949), N-term(304.2071)			38328821.5000	37034178.1318	47358833.7754	42699081.4492	42549614.2422	41966795.7891	44450860.1172	45125572.0879	37860745.7002	43278051.3242	47029715.2656	56705492.0371	42494541.6602	48280040.3008	44642134.4004	23350402.3096	21133413.7041	22223598.4512
sp|P33992|MCM5_HUMAN	P33992	MCM5_HUMAN	MCM5	734	Homo sapiens	DNA replication licensing factor MCM5	1:Experimental evidence at protein level	41.83	1.0000	0.9990	34	34	34	145	145	145	2088264768	2088264768	2088264768	10K(304.2071), 11K(304.2071), 12K(304.2071), 13M(15.9949), 14K(304.2071), 15K(304.2071), 16K(304.2071), 1C(57.0214), 1K(304.2071), 25K(304.2071), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			50537333.3379	49160240.8496	64276123.5762	56541935.6670	55622494.8545	54675238.8115	60784362.3965	59924266.1699	51321448.6611	59862932.0859	62819728.9395	75853218.1641	57091759.5840	65516622.2070	59855777.2598	34671688.5156	30629195.9258	32682488.4482
sp|P33993|MCM7_HUMAN	P33993	MCM7_HUMAN	MCM7	719	Homo sapiens	DNA replication licensing factor MCM7	1:Experimental evidence at protein level	26.29	1.0000	0.9990	19	19	19	66	66	66	2101642816	2101642816	2101642816	10K(304.2071), 12M(15.9949), 16K(304.2071), 17K(304.2071), 1C(57.0214), 6K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			14191542.8027	12438904.4004	16886304.6875	16235510.5645	14905553.8809	15030724.4531	16722005.1016	16632924.0547	14050593.1055	18050096.9941	18029140.7305	20829542.5547	14844590.7871	18396040.4688	16361632.2734	9239645.4111	8141101.3291	8890242.1719
sp|P34059|GALNS_HUMAN	P34059	GALNS_HUMAN	GALNS	522	Homo sapiens	N-acetylgalactosamine-6-sulfatase	1:Experimental evidence at protein level	5.17	1.0000	0.9990	3	2	3	5	3	5	16576608	9829902	16576608	8M(15.9949), N-term(304.2071)			248593.5039	225522.2930	312936.5859	281860.1172	286456.2148	281838.4922	296947.8359	300611.7266	257360.2969	308376.1562	348755.9961	401971.3047	311935.7930	357567.1641	317419.5781	239747.7344	222344.5117	229830.5195
sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	SHMT1	483	Homo sapiens	Serine hydroxymethyltransferase, cytosolic	1:Experimental evidence at protein level	27.33	1.0000	0.9990	13	11	11	44	42	42	949009008	592999056	949009008	11K(304.2071), 13K(304.2071), 17M(15.9949), 20K(304.2071), 21K(304.2071), 2M(15.9949), 3M(15.9949), 5C(57.0214), 8C(57.0214), 9C(57.0214), N-term(304.2071)			7403355.2793	7000556.5684	8992653.0312	8257166.5820	8389465.2441	8319107.0332	8817792.0645	8875994.5137	7419823.5918	9443647.7988	10331480.6641	12314701.2188	9416689.4355	10580137.7852	9710697.6680	5792105.1523	5269054.0391	5360882.1602
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens	Serine hydroxymethyltransferase, mitochondrial	1:Experimental evidence at protein level	46.43	1.0000	0.9990	20	18	20	73	71	73	2091988416	2091988416	2091988416	11C(57.0214), 11K(304.2071), 11M(15.9949), 13K(304.2071), 14K(304.2071), 17K(304.2071), 17M(15.9949), 21K(304.2071), 26K(304.2071), 2M(15.9949), 3C(57.0214), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9C(57.0214), N-term(304.2071)			37822007.8516	33674495.0078	42662166.7051	37773084.8223	33131196.2910	39609685.8965	41257312.4219	43038734.1797	34933251.7598	40253759.7852	40767924.7676	56975081.5352	25674894.5137	42380158.9023	36941832.0898	10877324.7607	10015811.3291	10361976.7959
sp|P34931|HS71L_HUMAN	P34931	HS71L_HUMAN	HSPA1L	641	Homo sapiens	Heat shock 70 kDa protein 1-like	1:Experimental evidence at protein level	32.29	1.0000	0.9990	20	4	12	136	36	52	13206912512	32862236	13206912512	10K(304.2071), 10M(15.9949), 11K(304.2071), 13K(304.2071), 15K(304.2071), 1K(304.2071), 20M(15.9949), 23K(304.2071), 2K(304.2071), 3K(304.2071), 5M(15.9949), 7C(57.0214), 8K(304.2071), N-term(304.2071)			2075801.3916	1985114.6572	2659451.9551	2291011.0625	2305770.2803	2251433.4434	2579146.8535	2557572.0020	2204546.3564	2339435.8047	2535806.5488	3091400.1035	2320710.7637	2911523.7480	2758938.8789	9999994.9385	8890041.4805	9624048.0215
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens	Heat shock 70 kDa protein 4	1:Experimental evidence at protein level	40.83	1.0000	0.9990	37	34	37	228	212	228	3575417472	3277313280	3575417472	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13C(57.0214), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 19K(304.2071), 1K(304.2071), 2C(57.0214), 2K(304.2071), 3M(15.9949), 4M(15.9949), 5C(57.0214), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			57579966.1377	56853592.6396	74251404.8594	68933227.3691	66959877.5430	67158098.6426	69399019.0156	69227240.6738	60251594.6963	75086089.0117	80981712.8594	99884070.0293	70614179.4531	81587043.7480	74136939.4590	50840177.1787	45049943.3447	48266720.7441
sp|P34949|MPI_HUMAN	P34949	MPI_HUMAN	MPI	423	Homo sapiens	Mannose-6-phosphate isomerase	1:Experimental evidence at protein level	9.46	1.0000	0.9990	2	2	2	4	4	4	1221955	1221955	1221955	25K(304.2071), 3C(57.0214), 6C(57.0214), 7M(15.9949), 9C(57.0214), 9K(304.2071), N-term(304.2071)			23529.5957	23718.3477	30270.1348	25023.4102	23117.6211	26057.3242	23633.2773	20699.9844	20178.9434	16986.1914	16470.6328	24990.2305	20622.4258	23670.1406	16034.4072	8876.3740	7902.4990	8353.8057
sp|P35080|PROF2_HUMAN	P35080	PROF2_HUMAN	PFN2	140	Homo sapiens	Profilin-2	1:Experimental evidence at protein level	37.86	1.0000	0.9990	5	5	5	7	7	7	33979684	33979684	33979684	10K(304.2071), 11M(15.9949), 13K(304.2071), 15K(304.2071), 9C(57.0214), N-term(304.2071)			942412.0898	822446.2852	1265887.8672	1079548.8789	1034682.8828	992339.3516	1049869.7852	1066451.3555	919485.2852	1083189.0234	1120474.5273	1405000.1016	1034048.6445	1220253.4219	1182597.5508	1207775.8320	1158030.3672	1169525.5078
sp|P35221|CTNA1_HUMAN	P35221	CTNA1_HUMAN	CTNNA1	906	Homo sapiens	Catenin alpha-1	1:Experimental evidence at protein level	47.68	1.0000	0.9990	44	31	44	169	124	169	1551143104	1001008192	1551143104	10K(304.2071), 11C(57.0214), 11K(304.2071), 11M(15.9949), 12C(57.0214), 12K(304.2071), 12M(15.9949), 13K(304.2071), 15K(304.2071), 16C(57.0214), 18K(304.2071), 19K(304.2071), 1C(57.0214), 1K(304.2071), 22K(304.2071), 2K(304.2071), 3K(304.2071), 3M(15.9949), 4M(15.9949), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			53969091.0840	50788612.1748	64956605.5859	57530475.6113	59236400.5938	58342783.4805	64095159.0605	63587112.1367	53935811.7275	57873802.0996	61915268.1973	73684779.5918	58519228.1367	67014171.5781	62194584.7168	46659232.9688	41221434.7822	42968530.7734
sp|P35222|CTNB1_HUMAN	P35222	CTNB1_HUMAN	CTNNB1	781	Homo sapiens	Catenin beta-1	1:Experimental evidence at protein level	53.27	1.0000	0.9990	35	30	35	144	131	144	1188735936	861706592	1188735936	10K(304.2071), 11K(304.2071), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13C(57.0214), 13K(304.2071), 13M(15.9949), 16M(15.9949), 18K(304.2071), 18M(15.9949), 1C(57.0214), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5C(57.0214), 5K(304.2071), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 9C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			48176793.2422	45513519.0332	58110680.5557	53775591.7402	52461383.9707	51248307.0098	56913054.4941	56669377.1074	47211990.5596	48824087.2891	51236770.3408	62011840.4961	48376434.1650	56350749.0957	51695069.5605	39769771.6123	35935905.8730	37409136.7246
sp|P35227|PCGF2_HUMAN	P35227	PCGF2_HUMAN	PCGF2	344	Homo sapiens	Polycomb group RING finger protein 2	1:Experimental evidence at protein level	18.90	1.0000	0.9990	7	5	7	10	8	10	122299492	107679668	122299492	10M(15.9949), 11K(304.2071), 12K(304.2071), 1C(57.0214), 2C(57.0214), 4M(15.9949), 5C(57.0214), 5M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), N-term(304.2071)			3570295.0859	3268664.0859	4231184.7109	3635182.5234	3586472.6641	3553979.0938	4166749.2109	4210579.6172	3544638.5000	4834658.9922	5107603.9219	5971804.5312	4927208.6641	5689292.0234	5141649.6953	2603754.0195	2295058.4375	2382141.1680
sp|P35232|PHB_HUMAN	P35232	PHB_HUMAN	PHB	272	Homo sapiens	Prohibitin	1:Experimental evidence at protein level	57.35	1.0000	0.9990	17	17	17	54	54	54	2551763584	2551763584	2551763584	11K(304.2071), 12K(304.2071), 1K(304.2071), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			16047892.2344	14302800.2656	19608744.8926	17697233.3008	18313951.8984	17394416.6973	18481396.6582	18248779.8457	16059208.7656	19929323.0684	20667623.4473	24288839.0000	18388288.4043	21044271.4902	19101577.6621	8842439.5410	8046406.5459	8168219.2988
sp|P35237|SPB6_HUMAN	P35237	SPB6_HUMAN	SERPINB6	376	Homo sapiens	Serpin B6	1:Experimental evidence at protein level	13.03	1.0000	0.9990	4	3	4	21	19	21	106230556	61529799	106230556	11K(304.2071), 15K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 6M(15.9949), 8M(15.9949), 9M(15.9949), N-term(304.2071)			2792821.5674	2687702.6777	3526462.3145	3224392.9199	3249284.2676	3266996.1816	3434844.6719	3405759.5391	2957350.5918	3263596.2949	3452736.5020	4272867.7773	3206946.6016	3605059.5918	3419413.1152	2582285.7500	2399229.9961	2615127.0977
sp|P35240|MERL_HUMAN	P35240	MERL_HUMAN	NF2	595	Homo sapiens	Merlin	1:Experimental evidence at protein level	25.55	1.0000	0.9990	18	17	18	21	20	21	74027910	35782675	74027910	10K(304.2071), 10M(15.9949), 11K(304.2071), 11M(15.9949), 12K(304.2071), 16K(304.2071), 19K(304.2071), 1K(304.2071), 2K(304.2071), 5K(304.2071), 5M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			1848930.3633	1696311.0205	2302486.5020	2076611.7266	2015150.5215	2038602.3477	2208130.9570	2168961.9238	1891340.7617	2536755.5840	2682395.2598	3170183.6309	2399232.3164	2746133.7754	2522059.2051	1399737.5430	1291974.8418	1342213.7949
sp|P35241|RADI_HUMAN	P35241	RADI_HUMAN	RDX	583	Homo sapiens	Radixin	1:Experimental evidence at protein level	45.28	1.0000	0.9990	38	20	22	120	53	56	1197934912	731662672	1197934912	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 1K(304.2071), 2K(304.2071), 4K(304.2071), 4M(15.9949), 5M(15.9949), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			13068545.9248	12220433.8174	15603881.9062	14473931.0625	14478375.1074	14187995.9092	15203271.2500	15108459.2529	13135337.5605	15480922.9512	16595062.9238	19954009.7891	14878067.2891	16772108.8154	15673277.6914	10955056.0732	9754565.5801	10169827.5957
sp|P35249|RFC4_HUMAN	P35249	RFC4_HUMAN	RFC4	363	Homo sapiens	Replication factor C subunit 4	1:Experimental evidence at protein level	26.45	1.0000	0.9990	9	9	9	20	20	20	435488048	435488048	435488048	10K(304.2071), 10M(15.9949), 2C(57.0214), 4K(304.2071), 5C(57.0214), 6C(57.0214), N-term(304.2071)			7171079.7549	6992737.6914	8996370.4922	8117734.0508	8049644.6992	8001143.9707	8837470.8770	8772306.7637	7450187.2617	10096245.5547	10624143.5996	13179109.3848	9822877.4707	11068993.9590	10222310.1914	5389487.6055	4916022.0371	5165301.8232
sp|P35250|RFC2_HUMAN	P35250	RFC2_HUMAN	RFC2	354	Homo sapiens	Replication factor C subunit 2	1:Experimental evidence at protein level	37.57	1.0000	0.9990	12	12	12	30	30	30	246601664	246601664	246601664	10K(304.2071), 10M(15.9949), 11K(304.2071), 16K(304.2071), 17K(304.2071), 2C(57.0214), 2M(15.9949), 5C(57.0214), 6C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			6524851.3281	6161811.4629	8025019.8438	7378006.6855	7417880.8594	7140944.3916	7477427.7656	7533259.5859	6645020.1338	8948569.6211	9305754.8359	11035392.7578	8641054.7598	9808405.4688	9133904.1289	4958997.4033	4594639.0791	4633526.0039
sp|P35251|RFC1_HUMAN	P35251	RFC1_HUMAN	RFC1	1148	Homo sapiens	Replication factor C subunit 1	1:Experimental evidence at protein level	11.41	1.0000	0.9990	14	14	14	31	31	31	231143116	231143116	231143116	10K(304.2071), 10M(15.9949), 11M(15.9949), 12K(304.2071), 1K(304.2071), 2K(304.2071), 3M(15.9949), 5M(15.9949), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			5376092.4980	4987152.8281	6492342.1504	6030241.5488	6005231.3438	5874751.8555	6234334.4531	6457208.6113	5493956.2197	7212019.8594	7826698.4473	9340048.6074	6656971.4785	7331493.4160	6975092.6113	4214060.8525	3719241.8398	3859855.7500
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens	60S ribosomal protein L22	1:Experimental evidence at protein level	20.31	1.0000	0.9990	3	3	3	20	20	20	2285200428	2285200428	2285200428	11K(304.2071), 13K(304.2071), 2K(304.2071), N-term(304.2071)			3247685.1055	3032754.4375	3928265.8711	3513576.2227	3597030.3359	3495313.9609	3817313.2695	3838866.7188	3240547.5352	3845669.9961	4017805.8008	4824319.3398	3612568.0547	3973166.5781	3747293.4531	2967760.6289	2611663.3730	2751253.5039
sp|P35269|T2FA_HUMAN	P35269	T2FA_HUMAN	GTF2F1	517	Homo sapiens	General transcription factor IIF subunit 1	1:Experimental evidence at protein level	20.12	1.0000	0.9990	13	13	13	29	29	29	307725472	307725472	307725472	11K(304.2071), 13K(304.2071), 15K(304.2071), 1K(304.2071), 2K(304.2071), 4M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), N-term(304.2071)			3491173.5430	2928766.6719	3913553.8047	3805825.4629	4034651.3359	3811848.5879	4168539.9531	3971616.3438	3433632.6836	4056185.0156	4225393.5586	4857506.9355	4313015.1289	5044939.6719	4743057.6680	3433150.1582	2980189.6465	3245660.7793
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	12.84	1.0000	0.9990	7	6	6	11	9	9	107919218	45367263	107919218	14K(304.2071), 16K(304.2071), N-term(304.2071)			1567874.6660	804938.5156	805491.7090	764903.1250	660527.1035	623636.7090	648557.2041	2311137.1797	971505.0967	634868.1904	848100.5176	819402.1426	2289078.2988	661779.9727	4173895.0547	584492.7539	477447.5469	2104230.6895
sp|P35573|GDE_HUMAN	P35573	GDE_HUMAN	AGL	1532	Homo sapiens	Glycogen debranching enzyme	1:Experimental evidence at protein level	10.31	1.0000	0.9990	15	15	15	21	21	21	52537376	52537376	52537376	14K(304.2071), 2C(57.0214), 2M(15.9949), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2620853.7051	2345052.2031	3162177.6289	2944836.9668	3065877.0498	2838873.0039	3280678.6592	3073573.1484	2723876.9062	3043723.9727	3495293.6719	3969361.0352	3164782.3242	3596166.9844	3415181.1855	2765864.0020	2458621.5225	2536467.8408
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens	Myosin-9	1:Experimental evidence at protein level	47.81	1.0000	0.9990	97	70	97	388	309	388	1648273696	1290424384	1648273696	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 12C(57.0214), 12K(304.2071), 12M(15.9949), 13C(57.0214), 13K(304.2071), 14C(57.0214), 15K(304.2071), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1C(57.0214), 1K(304.2071), 20K(304.2071), 21K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 33K(304.2071), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4C(57.0214), 4M(15.9949), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)			73629885.6094	69802774.8408	89394919.7656	84378051.2295	85863518.2070	83625167.1992	87039266.1562	87071341.9238	73311988.8789	81866487.0869	86759815.1738	104118122.1133	76781812.4941	87607092.2500	81425829.0391	80141046.0830	70928143.5469	74901145.3145
sp|P35580|MYH10_HUMAN	P35580	MYH10_HUMAN	MYH10	1976	Homo sapiens	Myosin-10	1:Experimental evidence at protein level	44.99	1.0000	0.9990	98	70	79	222	153	172	1499754592	367112384	1499754592	10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 13C(57.0214), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1C(57.0214), 1K(304.2071), 21K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			27822502.7617	26449088.8125	34498872.5127	32166882.2715	32095344.7012	31851653.5654	33946578.0088	33445099.2754	28457490.7432	29261646.9727	31766519.4072	38148307.0352	27451188.7891	31431728.5762	29652868.3477	39142922.5312	35056806.1641	37408774.2207
sp|P35606|COPB2_HUMAN	P35606	COPB2_HUMAN	COPB2	906	Homo sapiens	Coatomer subunit beta'	1:Experimental evidence at protein level	31.46	1.0000	0.9990	24	24	24	90	90	90	378356344	378356344	378356344	10K(304.2071), 10M(15.9949), 12K(304.2071), 14K(304.2071), 15C(57.0214), 15K(304.2071), 17K(304.2071), 18K(304.2071), 18M(15.9949), 1C(57.0214), 21K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9M(15.9949), N-term(304.2071)			9680071.8379	9231220.5547	11761914.3477	10697078.4307	10673131.4824	10435892.9658	11094202.9922	11146357.0244	9617808.3242	10485533.2773	11323623.0840	13620536.3477	10770450.0469	12156447.8262	11363565.6055	8642007.9658	7858944.1133	8189117.8691
